"pac_id","depth","is_seed","traversed","has_pac_no_id_contributors"
"1018977",0,TRUE,TRUE,FALSE
"1403112",0,TRUE,FALSE,FALSE
"1295768",0,TRUE,TRUE,FALSE
"1385674",0,TRUE,TRUE,FALSE
"1356185",0,TRUE,TRUE,FALSE
"1437185",0,TRUE,TRUE,FALSE
"1038907",0,TRUE,TRUE,FALSE
"1418060",0,TRUE,TRUE,FALSE
"1456636",0,TRUE,FALSE,FALSE
"1264590",0,TRUE,TRUE,FALSE
"1475124",0,TRUE,FALSE,FALSE
"1358723",0,TRUE,TRUE,FALSE
"1432932",0,TRUE,TRUE,FALSE
"1442900",0,TRUE,TRUE,FALSE
"1052411",0,TRUE,TRUE,FALSE
"1247549",0,TRUE,TRUE,FALSE
"1422595",0,TRUE,TRUE,FALSE
"1018766",0,TRUE,TRUE,FALSE
"1077374",0,TRUE,TRUE,FALSE
"1373047",0,TRUE,TRUE,FALSE
"1358150",0,TRUE,TRUE,FALSE
"1318200",0,TRUE,TRUE,FALSE
"1244001",0,TRUE,TRUE,FALSE
"1438874",0,TRUE,TRUE,TRUE
"1018449",0,TRUE,TRUE,FALSE
"1036697",0,TRUE,TRUE,FALSE
"1019841",0,TRUE,TRUE,FALSE
"1022794",0,TRUE,TRUE,FALSE
"1486767",0,TRUE,TRUE,FALSE
"1355868",0,TRUE,TRUE,FALSE
"1018473",0,TRUE,TRUE,FALSE
"1296948",0,TRUE,TRUE,FALSE
"1302384",0,TRUE,TRUE,FALSE
"1038947",0,TRUE,TRUE,FALSE
"1342002",0,TRUE,TRUE,FALSE
"1476845",0,TRUE,FALSE,FALSE
"1029583",0,TRUE,TRUE,FALSE
"1273063",0,TRUE,TRUE,FALSE
"1449477",0,TRUE,TRUE,FALSE
"1374983",0,TRUE,TRUE,FALSE
"1018915",0,TRUE,TRUE,FALSE
"1325942",0,TRUE,FALSE,FALSE
"1475565",0,TRUE,FALSE,FALSE
"1478170",0,TRUE,FALSE,FALSE
"1464730",0,TRUE,TRUE,FALSE
"1316497",0,TRUE,TRUE,FALSE
"1043298",0,TRUE,TRUE,FALSE
"1065182",0,TRUE,TRUE,FALSE
"1319072",0,TRUE,TRUE,FALSE
"1020788",0,TRUE,TRUE,FALSE
"1070224",0,TRUE,TRUE,FALSE
"1448772",0,TRUE,FALSE,FALSE
"1268914",0,TRUE,TRUE,FALSE
"1455363",0,TRUE,FALSE,FALSE
"1478478",0,TRUE,TRUE,FALSE
"1047526",0,TRUE,TRUE,FALSE
"1018676",0,TRUE,TRUE,FALSE
"1331005",0,TRUE,TRUE,FALSE
"1059236",0,TRUE,TRUE,FALSE
"1063204",0,TRUE,TRUE,FALSE
"1018869",0,TRUE,TRUE,FALSE
"1019718",0,TRUE,TRUE,FALSE
"1237416",0,TRUE,TRUE,FALSE
"1251912",0,TRUE,TRUE,FALSE
"1040545",0,TRUE,TRUE,FALSE
"1047609",0,TRUE,TRUE,FALSE
"1056178",0,TRUE,TRUE,FALSE
"1489060",0,TRUE,TRUE,FALSE
"1021564",0,TRUE,TRUE,FALSE
"1058056",0,TRUE,TRUE,FALSE
"1073398",0,TRUE,TRUE,FALSE
"1018385",0,TRUE,TRUE,FALSE
"1477317",0,TRUE,FALSE,FALSE
"1018496",0,TRUE,TRUE,FALSE
"1298011",0,TRUE,TRUE,FALSE
"1051285",0,TRUE,TRUE,FALSE
"1023815",0,TRUE,TRUE,FALSE
"1021722",0,TRUE,TRUE,FALSE
"1064202",0,TRUE,TRUE,FALSE
"1460206",0,TRUE,TRUE,FALSE
"1018954",0,TRUE,TRUE,FALSE
"1047683",0,TRUE,TRUE,FALSE
"1056662",0,TRUE,TRUE,FALSE
"1476870",0,TRUE,FALSE,FALSE
"1049814",0,TRUE,TRUE,FALSE
"1349650",0,TRUE,TRUE,FALSE
"1066113",0,TRUE,TRUE,FALSE
"1053654",0,TRUE,TRUE,FALSE
"1477447",0,TRUE,FALSE,FALSE
"1340101",0,TRUE,TRUE,FALSE
"1072506",0,TRUE,TRUE,FALSE
