pac_id,depth,path,status,total_received,total_donated_all,data_sufficiency,unitemized_amount,small_dollar_amount,under_5k_amount,over_5k_amount,is_federal_pac,is_major_donor_ie,is_candidate_pac,suspected_federal_reason,suspected_federal_pac,low_data_sufficiency,unknown_data_sufficiency,data_ok,pct_unitemized,pct_small_dollar,pct_over_5k,entity_id_normalized
1018977,0,1018977,resolved,3844378.73,3140126.0100000002,1.2242753054359115,3844378.73,0,0,0,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,1,0,0,b2b1ae1e-0aef-4de0-93fc-56f676d67042
1403112,0,1403112,federal_pac,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,997eede1-9689-4865-a818-fd604bd91229
1295768,0,1295768,resolved,2337110.16,1375000,1.6997164800000002,2302483.29,0,0,34626.87,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0.9851838947976675,0,0.01481610520233244,524910d6-05ce-43fb-8834-11d0f8253c01
1385674,0,1385674,resolved,10000,5000,2,0,0,0,10000,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0,0,1,2b9a2616-f549-4287-8095-c22b2d418bab
1356185,0,1356185,resolved,489103.20000000397,409350,1.194828875045814,276607,136353.69999999925,4812.1,71330.40000000001,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0.5655391336634022,0.27878308708672966,0.1458391603244457,b22fee5d-72f8-42dd-889a-901a803a28f8
1437185,0,1437185,resolved,128004.67000000001,101080.19,1.2663675246356383,2473,153.88,64072.39,61305.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0.019319607636190145,0.0012021436405406144,0.47893096400311014,13242ca1-cc88-4d24-bfca-444c435d2416
1038907,0,1038907,resolved,1598907.4800000582,2023600,0.7901302035975777,1174886.6900000002,145606.85999999693,278413.9300000004,0,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0.7348059251057838,0.09106646996234681,0,f6d8ad00-8aa4-47d4-a371-a5b23db82998
1418060,0,1418060,resolved,47347.33,42500,1.1140548235294119,0,50,27297.33,20000,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0,0.0010560257568906209,0.42241030275624836,94c240e4-d1a4-4e20-9bfe-5c0bbdf86094
1456636,0,1456636,unresolved,NA,159525,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,11f706b7-6e50-4c52-8982-f8447aaae9ac
1264590,0,1264590,resolved,11390941,11296700,1.0083423477652766,0,0,15000,11375941,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0,0,0.998683164103826,5c0f500f-d1ca-41d0-98a6-652ada398bc2
1358723,0,1358723,unresolved,NA,2572900,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,86949f81-32bd-437e-bc26-438bd4c84d13
1432932,0,1432932,resolved,2152528,1175337.8699999999,1.8314121028024055,0,0,10500,2142028,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,0,0,0.9951220146729799,7e1525a9-e0ff-4709-934c-f89c42e13463
