pac_id,fec_id,Contributor.Name,committee_url,name_variants,is_assoc,is_union,industry_override_under_5k,note_subcategory,notes,unresolvable_reason,is_candidate_pac,is_federal_pac,suspected_federal_pac,suspected_federal_reason,is_seed,is_major_donor_ie,low_data_sufficiency,unknown_data_sufficiency,classification_status,data_ok,contributor_is_dc_based,total_received,total_donated_all,data_sufficiency,unitemized_amount,under_5k_amount,over_5k_amount,pct_over_5k,total_direct_over_5k,total_resolvable,pct_resolvable
1486767,,BUILDING A BETTER CALIFORNIA,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1486767,Building a Better California | BUILDING A BETTER CALIFORNIA,,,Uncategorized,,,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,classify_by_contributors,TRUE,FALSE,156832665.7,168100000,0.9329724314,25,0,156832640.7,0.9999998406,156832640.7,156832640.7,0.9999998406
1478478,,Youth Save Democracy PAC,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1478478,Youth Save Democracy | Youth Save Democracy PAC,,,Uncategorized,,,major_donor_ie_committee,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,unresolvable,FALSE,FALSE,NA,32500,NA,NA,NA,NA,NA,0,0,0
1331005,,Planned Parenthood Affiliates of California VOTES PAC,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1331005,"Planned Parenthood Affiliates of California Votes PAC | Planned Parenthood Affiliates of California VOTES PAC | PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA VOTES PAC | Planned Parenthood of CA VOTES PAC | Protecting Choice in California, a Project of Planned Parenthood Affiliates of California",,,Uncategorized,,,low_data_sufficieny,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,unresolvable,FALSE,FALSE,85525.68,133831.4,0.6390554085,8199.04,7326.64,70000,0.8184676228,70000,19902.00998,0
1049814,,International Brotherhood of Electrical Workers (IBEW) PAC,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1049814,IBEW PAC Educational Fund | International Brotherhood of Electrical Workers (IBEW) PAC | International Brotherhood of Electrical Workers (IBEW) PAC Educational Fund | International Brotherhood of Electrical Workers PAC | International Brotherhood of Electrical Workers PAC (IBEW PAC) | International Brotherhood of Electrical Workers PAC Educational Fund (IBEW PAC) | International Brotherhood of Electrical Workers Political Action Committee,,TRUE,Unions,Trade Unions,,suspected_federal_pac,FALSE,FALSE,TRUE,dc_based,TRUE,FALSE,FALSE,FALSE,unresolvable,TRUE,TRUE,820856,156100,5.258526586,808142,4000,0,0,0,0,0
1477447,,Mike Fong for Assembly 2026,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1477447,"Fong for Assembly 2026, Mike | Mike Fong for Assembly | Mike Fong for Assembly 2026 | Mike Fong For Assembly 2026",,,Candidates/Political Parties,Candidate,,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,classify_as_candidate,TRUE,FALSE,1026233.56,379741.49,2.702453082,298.88,496834.68,527100,0.5136257676,527100,390563.2715,0.3805793211
1042247,,California Thoroughbred Breeders Association Local PAC,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1042247,California Thoroughbred Breeders Association Local PAC | California Thoroughbred Breeders Association PAC | California Thoroughbred Breeders Association Political Action Committee | California Thoroughbred Breeders Association Political Action Committee State PAC,,,Associations,Other Industries,,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,classify_by_contributors,TRUE,FALSE,30500,20000,1.525,100,9100,21000,0.6885245902,21000,21000,0.6885245902
1398311,,U.A. Local No. 228 Building Corporation PAC Fund,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1398311,U.A. Local No. 228 Building Corporation PAC Fund | U.A. Local Union 228 Political Action Fund,,TRUE,Unions,Trade Unions,,no_contributor_data,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,unresolvable,FALSE,FALSE,NA,6000,NA,NA,NA,NA,NA,0,0,0
1490064,,Garry's List Action,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1490064,Garry's List Action | GARY'S LIST ACTION,,,Uncategorized,,,suspected_federal_pac,FALSE,FALSE,TRUE,dc_based,TRUE,FALSE,FALSE,FALSE,unresolvable,TRUE,TRUE,403021,74200,5.431549865,1449,18272,379600,0.9418864029,379600,379600,0.9418864029
1483803,,"Democratic Action, Sponsored by Democratic Governors Association",https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1483803,"Democratic Action, Sponsored by Democratic Governors Association | Democratic Action, sponsored by Democratic Governors Association (Fed PAC ID #C00562983) | Democratic Action, Yes on 50, sponsored by Democratic Governors Association (FED PAC ID #C00562983)",,,Candidates/Political Parties,Political Party,,federal_pac,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,unresolvable,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,0
1058417,,CalTravel Association PAC,https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1058417,"CalTravel Association PAC | CalTravel Association PAC, Sponsored by California Travel Association | CALTRAVEL ASSOCIATION PAC, SPONSORED BY CALIFORNIA TRAVEL ASSOCIATION | CalTravel PAC | CalTravel PAC, sponsored by California Travel Association | CalTravel PAC, Sponsored by California Travel Association | CALTRAVEL PAC, SPONSORED BY CALIFORNIA TRAVEL ASSOCIATION",TRUE,,Associations,"Entertainment, Media and Gambling",,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,classify_by_contributors,TRUE,FALSE,489441.35,313400,1.561714582,263.56,136846.6,352331.19,0.7198639633,352331.19,352331.19,0.7198639633
