"","pac_id","depth","path","status","total_received","total_donated_all","data_sufficiency","unitemized_amount","member_dues_amount","under_5k_amount","over_5k_amount","is_federal_pac","low_data_sufficiency","unknown_data_sufficiency","data_ok","pct_unitemized_dues","pct_over_5k","classify_by_name","total_direct_over_5k","total_resolvable","pct_resolvable","classification_status","unresolvable_reason","Contributor.Name"
"1","1418060",0,"1418060","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","California Partnership for Health PAC"
"2","1437185",0,"1437185","resolved",75522.01,43680.19,1.72897622469133,2666.88,0,22191.23,50663.9,FALSE,FALSE,FALSE,TRUE,0.0353126194602077,0.670849464944061,FALSE,50663.9,50663.9,0.670849464944061,"classify_by_contributors",NA,"CA Primary Care Association Advocates PAC"
"3","1385674",0,"1385674","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","Health and Human Rights PAC, Sponsored by St. John's Well Child and Family Center Action Fund"
"4","1358723",0,"1358723","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","Laborers Pacific Southwest Regional Organizing Coalition PAC"
"5","1356185",0,"1356185","resolved",85861.91,142150,0.604023285262047,70409.7,0,240,15212.21,FALSE,TRUE,FALSE,FALSE,0.82003416881828,0.177170645283805,FALSE,15212.21,15212.21,0.177170645283805,"unresolvable","low_data_sufficieny","Union of American Physicians and Dentists Medical Action Committee"
"6","1432932",0,"1432932","resolved",1472500,1060802.93,1.38809948422748,0,0,7500,1465000,FALSE,FALSE,FALSE,TRUE,0,0.99490662139219,FALSE,1465000,1264780.55816907,0.858934165140282,"classify_by_contributors",NA,"LCCC PAC"
"7","1442900",0,"1442900","resolved",122950,16000,7.684375,0,0,13450,109500,FALSE,FALSE,FALSE,TRUE,0,0.890605937372916,FALSE,109500,100268.024954208,0.815518706418938,"classify_by_contributors",NA,"California's Best"
"8","1038907",0,"1038907","resolved",588487.629999998,792600,0.742477453949026,476021.38,0,112466.25,0,FALSE,TRUE,FALSE,FALSE,0.808889355924103,0,FALSE,0,0,0,"unresolvable","low_data_sufficieny","Association of California School Administrators PAC"
"9","1052411",0,"1052411","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","California State Council of Laborers PAC"
"10","1456636",0,"1456636","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","Eloise Reyes for Senate 2024"
"11","1247549",0,"1247549","resolved",195815.09,84042.12,2.32996371343322,190924.23,0,4890.86,0,FALSE,FALSE,FALSE,TRUE,0.975023068957556,0,TRUE,0,0,0,"classify_by_name",NA,"Northern California District Council of Laborers PAC"
"12","1358150",0,"1358150","resolved",428830.62,532450,0.805391341910038,428830.62,0,0,0,FALSE,FALSE,FALSE,TRUE,1,0,TRUE,0,0,0,"classify_by_name",NA,"Southern California District Council of Laborers PAC Small Contributor Committee"
"13","1455363",0,"1455363","unresolved",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,0,0,0,"unresolvable","no_contributor_data","Dario Frommer for Controller 2026"
"14","1047526",0,"1047526","resolved",6100,75200,0.0811170212765957,100,0,1000,5000,FALSE,TRUE,FALSE,FALSE,0.0163934426229508,0.819672131147541,FALSE,5000,5000,0.819672131147541,"unresolvable","low_data_sufficieny","California Ambulance Association PAC"
