─────────────────────────────────────────────────────────────────
CalAccess Multi-Race Pull  —  2026-04-23 12:25:33
  GOV: governor_race_2026-03-20.csv
  LTG: lt_governor_race_2026.csv
  INS: insurance_commissioner_race_2026.csv
─────────────────────────────────────────────────────────────────
Loading existing CSV files …
  [GOV] 89,608 existing rows | 87,339 dedup keys  (governor_race_2026-03-20.csv)
  [LTG] No existing file — will create: lt_governor_race_2026.csv
  [INS] No existing file — will create: insurance_commissioner_race_2026.csv
Downloading CalAccess database from:
  https://campaignfinance.cdn.sos.ca.gov/dbwebexport.zip

    0.1%     1.0 MB  (1.9 MB/s)
    0.1%     2.1 MB  (3.5 MB/s)
    0.2%     3.1 MB  (4.9 MB/s)
    0.3%     4.2 MB  (6.1 MB/s)
    0.3%     5.2 MB  (7.2 MB/s)
    0.4%     6.3 MB  (7.4 MB/s)
    0.5%     7.3 MB  (8.2 MB/s)
    0.6%     8.4 MB  (9.0 MB/s)
    0.6%     9.4 MB  (9.6 MB/s)
    0.7%    10.5 MB  (10.0 MB/s)
    0.8%    11.5 MB  (10.3 MB/s)
    0.8%    12.6 MB  (10.6 MB/s)
    0.9%    13.6 MB  (11.0 MB/s)
    1.0%    14.7 MB  (10.7 MB/s)
    1.0%    15.7 MB  (11.1 MB/s)
    1.1%    16.8 MB  (11.5 MB/s)
    1.2%    17.8 MB  (11.8 MB/s)
    1.2%    18.9 MB  (12.2 MB/s)
    1.3%    19.9 MB  (12.6 MB/s)
    1.4%    21.0 MB  (13.0 MB/s)
    1.5%    22.0 MB  (13.3 MB/s)
    1.5%    23.1 MB  (13.6 MB/s)
    1.6%    24.1 MB  (13.8 MB/s)
    1.7%    25.2 MB  (14.1 MB/s)
    1.7%    26.2 MB  (13.6 MB/s)
    1.8%    27.3 MB  (13.9 MB/s)
    1.9%    28.3 MB  (14.1 MB/s)
    1.9%    29.4 MB  (14.2 MB/s)
    2.0%    30.4 MB  (14.3 MB/s)
    2.1%    31.5 MB  (14.5 MB/s)
    2.1%    32.5 MB  (14.6 MB/s)
    2.2%    33.6 MB  (14.9 MB/s)
    2.3%    34.6 MB  (15.1 MB/s)
    2.4%    35.7 MB  (15.4 MB/s)
    2.4%    36.7 MB  (14.9 MB/s)
    2.5%    37.7 MB  (15.0 MB/s)
    2.6%    38.8 MB  (15.2 MB/s)
    2.6%    39.8 MB  (15.3 MB/s)
    2.7%    40.9 MB  (15.5 MB/s)
    2.8%    41.9 MB  (15.7 MB/s)
    2.8%    43.0 MB  (15.9 MB/s)
    2.9%    44.0 MB  (16.0 MB/s)
    3.0%    45.1 MB  (16.1 MB/s)
    3.0%    46.1 MB  (15.7 MB/s)
    3.1%    47.2 MB  (15.8 MB/s)
    3.2%    48.2 MB  (15.9 MB/s)
    3.3%    49.3 MB  (16.1 MB/s)
    3.3%    50.3 MB  (16.1 MB/s)
    3.4%    51.4 MB  (16.1 MB/s)
    3.5%    52.4 MB  (16.2 MB/s)
    3.5%    53.5 MB  (16.3 MB/s)
    3.6%    54.5 MB  (16.2 MB/s)
    3.7%    55.6 MB  (15.8 MB/s)
    3.7%    56.6 MB  (15.8 MB/s)
    3.8%    57.7 MB  (15.7 MB/s)
    3.9%    58.7 MB  (15.7 MB/s)
    3.9%    59.8 MB  (15.7 MB/s)
    4.0%    60.8 MB  (13.4 MB/s)
    4.1%    61.9 MB  (13.5 MB/s)
    4.2%    62.9 MB  (13.5 MB/s)
    4.2%    64.0 MB  (13.5 MB/s)
    4.3%    65.0 MB  (13.5 MB/s)
    4.4%    66.1 MB  (13.5 MB/s)
    4.4%    67.1 MB  (13.6 MB/s)
    4.5%    68.2 MB  (13.4 MB/s)
    4.6%    69.2 MB  (12.3 MB/s)
    4.6%    70.3 MB  (12.4 MB/s)
    4.7%    71.3 MB  (12.5 MB/s)
    4.8%    72.4 MB  (12.6 MB/s)
    4.9%    73.4 MB  (12.6 MB/s)
    4.9%    74.4 MB  (12.7 MB/s)
    5.0%    75.5 MB  (12.7 MB/s)
    5.1%    76.5 MB  (12.6 MB/s)
    5.1%    77.6 MB  (12.6 MB/s)
    5.2%    78.6 MB  (12.7 MB/s)
    5.3%    79.7 MB  (12.7 MB/s)
    5.3%    80.7 MB  (12.6 MB/s)
    5.4%    81.8 MB  (12.6 MB/s)
    5.5%    82.8 MB  (12.5 MB/s)
    5.5%    83.9 MB  (12.5 MB/s)
    5.6%    84.9 MB  (12.6 MB/s)
    5.7%    86.0 MB  (12.7 MB/s)
    5.8%    87.0 MB  (12.7 MB/s)
    5.8%    88.1 MB  (12.8 MB/s)
    5.9%    89.1 MB  (12.9 MB/s)
    6.0%    90.2 MB  (12.9 MB/s)
    6.0%    91.2 MB  (13.0 MB/s)
    6.1%    92.3 MB  (12.9 MB/s)
    6.2%    93.3 MB  (13.0 MB/s)
    6.2%    94.4 MB  (13.0 MB/s)
    6.3%    95.4 MB  (13.1 MB/s)
    6.4%    96.5 MB  (13.2 MB/s)
    6.4%    97.5 MB  (13.3 MB/s)
    6.5%    98.6 MB  (13.3 MB/s)
    6.6%    99.6 MB  (13.4 MB/s)
    6.7%   100.7 MB  (13.5 MB/s)
    6.7%   101.7 MB  (13.4 MB/s)
    6.8%   102.8 MB  (13.4 MB/s)
    6.9%   103.8 MB  (13.4 MB/s)
    6.9%   104.9 MB  (13.5 MB/s)
    7.0%   105.9 MB  (13.5 MB/s)
    7.1%   107.0 MB  (13.5 MB/s)
    7.1%   108.0 MB  (13.6 MB/s)
    7.2%   109.1 MB  (13.7 MB/s)
    7.3%   110.1 MB  (13.7 MB/s)
    7.3%   111.1 MB  (13.6 MB/s)
    7.4%   112.2 MB  (13.6 MB/s)
    7.5%   113.2 MB  (13.7 MB/s)
    7.6%   114.3 MB  (13.7 MB/s)
    7.6%   115.3 MB  (13.8 MB/s)
    7.7%   116.4 MB  (13.8 MB/s)
    7.8%   117.4 MB  (13.8 MB/s)
    7.8%   118.5 MB  (13.8 MB/s)
    7.9%   119.5 MB  (13.9 MB/s)
    8.0%   120.6 MB  (13.8 MB/s)
    8.0%   121.6 MB  (13.8 MB/s)
    8.1%   122.7 MB  (13.8 MB/s)
    8.2%   123.7 MB  (13.8 MB/s)
    8.2%   124.8 MB  (13.8 MB/s)
    8.3%   125.8 MB  (13.8 MB/s)
    8.4%   126.9 MB  (13.9 MB/s)
    8.5%   127.9 MB  (13.8 MB/s)
    8.5%   129.0 MB  (13.8 MB/s)
    8.6%   130.0 MB  (13.9 MB/s)
    8.7%   131.1 MB  (13.9 MB/s)
    8.7%   132.1 MB  (13.9 MB/s)
    8.8%   133.2 MB  (14.0 MB/s)
    8.9%   134.2 MB  (14.0 MB/s)
    8.9%   135.3 MB  (14.1 MB/s)
    9.0%   136.3 MB  (13.6 MB/s)
    9.1%   137.4 MB  (13.2 MB/s)
    9.1%   138.4 MB  (13.3 MB/s)
    9.2%   139.5 MB  (13.3 MB/s)
    9.3%   140.5 MB  (13.4 MB/s)
    9.4%   141.6 MB  (13.4 MB/s)
    9.4%   142.6 MB  (13.5 MB/s)
    9.5%   143.7 MB  (13.5 MB/s)
    9.6%   144.7 MB  (13.5 MB/s)
    9.6%   145.8 MB  (13.5 MB/s)
    9.7%   146.8 MB  (13.5 MB/s)
    9.8%   147.8 MB  (13.5 MB/s)
    9.8%   148.9 MB  (13.5 MB/s)
    9.9%   149.9 MB  (13.6 MB/s)
   10.0%   151.0 MB  (13.6 MB/s)
   10.0%   152.0 MB  (13.7 MB/s)
   10.1%   153.1 MB  (13.7 MB/s)
   10.2%   154.1 MB  (13.8 MB/s)
   10.3%   155.2 MB  (13.7 MB/s)
   10.3%   156.2 MB  (13.7 MB/s)
   10.4%   157.3 MB  (13.8 MB/s)
   10.5%   158.3 MB  (13.8 MB/s)
   10.5%   159.4 MB  (13.8 MB/s)
   10.6%   160.4 MB  (13.9 MB/s)
   10.7%   161.5 MB  (13.9 MB/s)
   10.7%   162.5 MB  (14.0 MB/s)
   10.8%   163.6 MB  (14.0 MB/s)
   10.9%   164.6 MB  (14.0 MB/s)
   10.9%   165.7 MB  (14.0 MB/s)
   11.0%   166.7 MB  (14.0 MB/s)
   11.1%   167.8 MB  (14.0 MB/s)
   11.2%   168.8 MB  (14.1 MB/s)
   11.2%   169.9 MB  (14.1 MB/s)
   11.3%   170.9 MB  (14.1 MB/s)
   11.4%   172.0 MB  (14.2 MB/s)
   11.4%   173.0 MB  (14.2 MB/s)
   11.5%   174.1 MB  (14.2 MB/s)
   11.6%   175.1 MB  (14.3 MB/s)
   11.6%   176.2 MB  (14.2 MB/s)
   11.7%   177.2 MB  (14.2 MB/s)
   11.8%   178.3 MB  (14.3 MB/s)
   11.8%   179.3 MB  (14.3 MB/s)
   11.9%   180.4 MB  (14.3 MB/s)
   12.0%   181.4 MB  (14.4 MB/s)
   12.1%   182.5 MB  (14.4 MB/s)
   12.1%   183.5 MB  (14.4 MB/s)
   12.2%   184.5 MB  (14.5 MB/s)
   12.3%   185.6 MB  (14.5 MB/s)
   12.3%   186.6 MB  (14.4 MB/s)
   12.4%   187.7 MB  (14.5 MB/s)
   12.5%   188.7 MB  (14.5 MB/s)
   12.5%   189.8 MB  (14.5 MB/s)
   12.6%   190.8 MB  (14.6 MB/s)
   12.7%   191.9 MB  (14.6 MB/s)
   12.8%   192.9 MB  (14.6 MB/s)
   12.8%   194.0 MB  (14.7 MB/s)
   12.9%   195.0 MB  (14.7 MB/s)
   13.0%   196.1 MB  (14.7 MB/s)
   13.0%   197.1 MB  (14.6 MB/s)
   13.1%   198.2 MB  (14.7 MB/s)
   13.2%   199.2 MB  (14.7 MB/s)
   13.2%   200.3 MB  (14.7 MB/s)
   13.3%   201.3 MB  (14.8 MB/s)
   13.4%   202.4 MB  (14.8 MB/s)
   13.4%   203.4 MB  (14.8 MB/s)
   13.5%   204.5 MB  (14.8 MB/s)
   13.6%   205.5 MB  (14.8 MB/s)
   13.7%   206.6 MB  (14.8 MB/s)
   13.7%   207.6 MB  (14.8 MB/s)
   13.8%   208.7 MB  (14.8 MB/s)
   13.9%   209.7 MB  (14.8 MB/s)
   13.9%   210.8 MB  (14.9 MB/s)
   14.0%   211.8 MB  (14.9 MB/s)
   14.1%   212.9 MB  (14.9 MB/s)
   14.1%   213.9 MB  (14.9 MB/s)
   14.2%   215.0 MB  (15.0 MB/s)
   14.3%   216.0 MB  (14.9 MB/s)
   14.3%   217.1 MB  (14.9 MB/s)
   14.4%   218.1 MB  (14.9 MB/s)
   14.5%   219.2 MB  (14.9 MB/s)
   14.6%   220.2 MB  (15.0 MB/s)
   14.6%   221.2 MB  (15.0 MB/s)
   14.7%   222.3 MB  (15.0 MB/s)
   14.8%   223.3 MB  (15.0 MB/s)
   14.8%   224.4 MB  (15.0 MB/s)
   14.9%   225.4 MB  (15.0 MB/s)
   15.0%   226.5 MB  (15.0 MB/s)
   15.0%   227.5 MB  (15.0 MB/s)
   15.1%   228.6 MB  (15.1 MB/s)
   15.2%   229.6 MB  (15.1 MB/s)
   15.2%   230.7 MB  (15.1 MB/s)
