pac_id,pac_name,industry,amount,total_received,pct_of_total
1018355,CALIFORNIA LABOR FEDERATION AFL-CIO,77,2154946.6099999994,2187603.109999999,0.9850720179310772
1018355,CALIFORNIA LABOR FEDERATION AFL-CIO,99,32656.5,2187603.109999999,0.01492798206892292
1018378,California New Car Dealers Association PAC,80,1405472.49,1414472.49,0.99363720393035
1018378,California New Car Dealers Association PAC,31-33,9000,1414472.49,0.006362796069649965
1018435,California Association of Health Facilities PAC,60,516943.0000000001,554875.9899999999,0.9316369951419239
1018435,California Association of Health Facilities PAC,99,14011.850000000004,554875.9899999999,0.025252218968782568
1018435,California Association of Health Facilities PAC,100,9799.97,554875.9899999999,0.017661549925777113
1018435,California Association of Health Facilities PAC,50,9078.03,554875.9899999999,0.016360466417009688
1018435,California Association of Health Facilities PAC,31-33,5043.140000000007,554875.9899999999,0.009088769546507154
1018449,California Federation of Teachers COPE,77,1851659.6099999999,1882899.49,0.9834086311213562
1018449,California Federation of Teachers COPE,60,31239.879999999997,1882899.49,0.01659136887864365
1018473,California Teachers Association Association for Better Citizenship,77,2500000,2500000,1
1018496,NA,77,113050.1,113050.1,1
1018624,WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOCIATION PAC,40,890371.84,895807.84,0.9939317342880143
1018624,WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOCIATION PAC,60,5436,895807.84,0.006068265711985731
1018640,Teamsters California PAC,77,530603,530603,1
1018676,CALPAC - California Medical Association PAC,60,1257590.5,1267390.5000000002,0.9922675765677585
1018676,CALPAC - California Medical Association PAC,99,9800,1267390.5000000002,0.007732423432241285
1018725,California Dental Association PAC (CDA PAC),60,3878501.4500000277,3878501.4500001296,0.9999999999999737
1018748,California Chiropractic Association PAC,60,166188.14,166188.14000000004,0.9999999999999998
1018750,IBEW Local 1245 Political Action Committee,77,419100,419100,1
1018754,Operating Engineers Local Union No. 12 Political Fund,77,886467.64,886467.64,1
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,100,276090,443479.2,0.6225545640020997
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,92,105000,443479.2,0.23676420449933164
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,99,31379.8,443479.2,0.0707582227080774
1018766,Electing Climate Champions Fund sponsored by California Environmental Voters,80,31009.4,443479.2,0.0699230087904912
1018771,California State Association of Electrical Workers Political Account,77,2011986.5,2011986.5,1
1018785,CALIFORNIA LAND TITLE ASSOCIATION POLITICAL ACTION COMMITTEE,52,57664.82,57664.82000000001,0.9999999999999999
1018801,California Pawnbrokers Association PAC,52,66707.5300000001,66707.5300000001,1
1018814,NA,80,25125,63037.25,0.39857385910711524
1018814,NA,99,22912.25,63037.25,0.3634715981423682
1018814,NA,76,10000,63037.25,0.1586363618336777
1018814,NA,31-33,5000,63037.25,0.07931818091683886
1018843,SAN FRANCISCO BAR PILOTS' POLITICAL ACTION COMMITTEE,20,140813.89,140813.89,1
1018846,State Building and Construction Trades Council of California PAC,77,1286576.0200000005,1442036.65,0.8921937039533638
1018846,State Building and Construction Trades Council of California PAC,99,155460.63,1442036.65,0.10780629604663655
1018862,Los Angeles Police Protective League PAC - Small Contributor Committee,77,894659.5,894659.5,1
