"entity_name","canonical_name","to_add_status","entity_status","entity_id","Contributor.ID","city","state","review_group_id","confirmed_link","confirmed","is_conflict","notes","link_methods","n_contributions","total_amount","zip","in_refined_queue"
"DREYER BABICH BUCCOLA WOOD & CAMPORA, LLP","DREYER BABICH BUCCOLA WOOD & CAMPORA","in existing map","adding_to_existing","323fdaee-f2c5-4592-88c9-29ed3ac37007",NA,"Sacramento","CA","org_rg_103","yes",TRUE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,0,"95826",FALSE
"DREYER BABICH BUCCOLA WOOD CAMPORA, LLP (ROGER DREYER)","DREYER BABICH BUCCOLA WOOD & CAMPORA","add to map","adding_to_existing","323fdaee-f2c5-4592-88c9-29ed3ac37007",NA,"Sacramento","CA","org_rg_103","yes",FALSE,FALSE,"","map1_bridge",1,39200,"95826-2802",FALSE
"CALIFORNIA CREDIT UNION LEAGUE PAC","CALIFORNIA CREDIT UNION LEAGUE","in existing map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Ontario","CA","org_rg_11","yes",TRUE,FALSE,"","same_contributor_id",4,10000,"91761",TRUE
"CALIFORNIA'S CREDIT UNIONS LEAGUE PAC, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","CALIFORNIA CREDIT UNION LEAGUE","add to map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Sacramento","CA","org_rg_11","yes",FALSE,FALSE,"","same_contributor_id",1,2500,"95814",TRUE
"CALIFORNIA'S CREDIT UNIONS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CREDIT UNION LEAGUE","CALIFORNIA CREDIT UNION LEAGUE","add to map","adding_to_existing","fe54faa9-1d46-4c96-8fc1-bfd68a665271",760225,"Sacramento","CA","org_rg_11","yes",FALSE,FALSE,"","same_contributor_id",1,1500,"95814-3992",TRUE
"FANDUEL GROUP, INC.","FANDUEL","add to map","adding_to_existing","26572759-8d64-47f0-8067-390dfc9be4ff",NA,"New York","NY","org_rg_112","yes",FALSE,FALSE,"","map1_bridge",1,1500,"10010",TRUE
"FANDUEL INC.","FANDUEL","in existing map","adding_to_existing","26572759-8d64-47f0-8067-390dfc9be4ff",NA,"New York","NY","org_rg_112","yes",TRUE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,5900,"10010",TRUE
"HIMS, INC","HIMS","add to map","new_entity","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"San Francisco","CA","org_rg_125","yes",FALSE,FALSE,"","exact_name_v1",1,39200,"94123-2600",FALSE
"HIMS, INC.","HIMS","add to map","new_entity","6069841d-2c6a-4089-b599-2175117f3ec1",NA,"San Francisco","CA","org_rg_125","yes",FALSE,FALSE,"","exact_name_v1",1,1500,"94123",FALSE
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO. 16 POLITICAL ACTION COMMITTEE","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","add to map","adding_to_existing","0100889d-c16d-4250-b060-778f1533631d",760715,"Los Angeles","CA","org_rg_13","yes",FALSE,FALSE,"already in name map, but wasn't indicated","map1_bridge | same_contributor_id | same_contributor_id",3,48300,"90020-1748",FALSE
"SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL NO.16","SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16","add to map","adding_to_existing","0100889d-c16d-4250-b060-778f1533631d",760715,"Los Angeles","CA","org_rg_13","yes",FALSE,FALSE,"already in name map, but wasn't indicated","map1_bridge | same_contributor_id | same_contributor_id",2,18200,"90020",FALSE
"IBEW LOCAL 18 WATER & POWER DEFENSE LEAGUE","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18","in existing map","adding_to_existing","56eca98c-74f0-4335-acb0-3110d5d1df61",744817,"Los Angeles","CA","org_rg_130_a","no",TRUE,FALSE,"","map1_bridge",1,15000,"90004",TRUE
"IBEW LOCAL 6 POLITICAL ACCOUNT","IBEW LOCAL 6 POLITICAL ACCOUNT","add to map","adding_to_existing","93326e1e-44b8-4d4f-bf46-57fe85ce7d1b",921730,"San Francisco","CA","org_rg_130_b","no",FALSE,FALSE,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 6 - same entity? ","map1_bridge",1,10000,"94117-3515",TRUE
"IBEW LOCAL 684 PAC",NA,"","adding_to_existing","368979cb-5b9f-46cf-9310-7d57c9c8c71f",1309647,"Long Beach","CA","org_rg_130_c","yes",FALSE,FALSE,"","map1_bridge",1,1000,"90802-5054",FALSE
"IBEW PAC EDUCATIONAL FUND (FEC ID #C00027342)","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","add to map","adding_to_existing","955473d1-c58c-48b9-adc7-58720b3cf513",NA,"Washington","DC","org_rg_130","no",FALSE,FALSE,"","map1_bridge",1,-9100,"20001",FALSE
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO. 11","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11","add to map","adding_to_existing","abe62467-94cf-4b01-a3ce-779164eaf832",822725,"Pasadena","CA","org_rg_130_e","no",FALSE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,15000,"91101",FALSE
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","in existing map","adding_to_existing","955473d1-c58c-48b9-adc7-58720b3cf513",NA,"Washington","DC","org_rg_130","yes",TRUE,FALSE,"","map1_bridge",1,34200,"20001-3886",TRUE
"CA INDEPENDENT TELEPHONE PAC","CA INDEPENDENT TELEPHONE","update map error","merge_conflict","438e17f9-a9d9-44f2-a966-329551dfd467",771171,"Sacramento","CA","org_rg_14","yes",TRUE,TRUE,"","map1_bridge | same_contributor_id",1,3000,"95814",FALSE
"CALIFORNIA INDEPENDENT TELEPHONE PAC","CA INDEPENDENT TELEPHONE","update map error","merge_conflict","438e17f9-a9d9-44f2-a966-329551dfd467",771171,"Sacramento","CA","org_rg_14","yes",TRUE,TRUE,"","map1_bridge | same_contributor_id",1,2000,"95814",FALSE
"LABOR TIME INC","LABOR TIME","add to map","new_entity","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"Fresno","CA","org_rg_148","yes",FALSE,FALSE,"","exact_name_v1",1,1000,"93728",FALSE
"LABOR TIME INC.","LABOR TIME","add to map","new_entity","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"Fresno","CA","org_rg_148","yes",FALSE,FALSE,"","exact_name_v1",1,2500,"93728",FALSE
"CALIFORNIA NURSES ASSOCIATION CNA PAC","CALIFORNIA NURSES ASSOCIATION","add to map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",FALSE,FALSE,"","same_contributor_id",1,25000,"95814",FALSE
"CALIFORNIA NURSES ASSOCIATION PAC (CNA-PAC) SMALL CONTRIBUTOR COMMITTEE","CALIFORNIA NURSES ASSOCIATION","in existing map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,2500,"95814",TRUE
"CALIFORNIA NURSES ASSOCIATION POLITICAL ACTION COMMITTEE","CALIFORNIA NURSES ASSOCIATION","in existing map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,19600,"95814",TRUE
"CALIFORNIA HOSPITAL ASSOCIATION PAC SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",TRUE,FALSE,"","same_contributor_id",1,1500,"95814",FALSE
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSN OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","add to map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"95814-3946",TRUE
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,3000,"95814",TRUE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PAC (PECG PAC) SMALL CONTRIBUTOR COMMITTEE","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","add to map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,2000,"95814",FALSE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,40200,"95814 | 95814-4581",FALSE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC SMALL CONTRIBUTOR COMMITTEE","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,1000,"95814",FALSE
"PARAMOUNT GLOBAL","PARAMOUNT","add to map","new_entity","4c42c86b-8b9a-440a-9fb9-521f08427cf9",NA,"Los Angeles","CA","org_rg_180","yes",FALSE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,1000,"90038",FALSE
"PARAMOUNT PICTURES","PARAMOUNT","add to map","new_entity","4c42c86b-8b9a-440a-9fb9-521f08427cf9",NA,"Los Angeles","CA","org_rg_180","yes",FALSE,FALSE,"","map1_bridge",1,355.15,"90038-3989",FALSE
"SEIU CALIFORNIA STATE COUNCIL","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","add to map","adding_to_existing","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",831628,"Sacramento","CA","org_rg_19","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95814",TRUE
"SEIU CALIFORNIA STATE COUNCIL SMALL CONTRIBUTOR COMMITTEE","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","adding_to_existing","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",831628,"Sacramento","CA","org_rg_19","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,78400,"95814-3816",TRUE
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS PAC","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","add to map","adding_to_existing","f6d8ad00-8aa4-47d4-a371-a5b23db82998",842151,"Sacramento","CA","org_rg_20","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95814-4503",TRUE
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS POLITICAL ACTION COMMITTEE","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","in existing map","adding_to_existing","f6d8ad00-8aa4-47d4-a371-a5b23db82998",842151,"Sacramento","CA","org_rg_20","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"95814-2814",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE","FACULTY FOR OUR UNIVERSITY'S FUTURE","name is already canonical","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",3,25000,"95814",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE, A COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","FACULTY FOR OUR UNIVERSITY'S FUTURE","in existing map","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",TRUE,FALSE,"","same_contributor_id",3,78400,"95814-3905",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE, LOCAL COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","FACULTY FOR OUR UNIVERSITY'S FUTURE","add to map","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,65000,"95814",FALSE
"CALIFORNIA REAL ESTATE PAC","CALIFORNIA ASSOCIATION OF REALTORS","in existing map","adding_to_existing","4b309bd1-b0a1-4b2d-b660-de28e0ab751e",890106,"Los Angeles","CA","org_rg_24","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"90020-1403",TRUE
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE","CALIFORNIA ASSOCIATION OF REALTORS","add to map","adding_to_existing","4b309bd1-b0a1-4b2d-b660-de28e0ab751e",890106,"Los Angeles","CA","org_rg_24","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,19600,"90071-3314",FALSE
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","add to map","new_entity","346b66bd-930e-4919-88f2-44dbbb0dca2f",890152,"Roseville","CA","org_rg_25","yes",FALSE,FALSE,"","same_contributor_id",2,5000,"95661",FALSE
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC (CAMPAC)","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","add to map","new_entity","346b66bd-930e-4919-88f2-44dbbb0dca2f",890152,"Roseville","CA","org_rg_25","yes",FALSE,FALSE,"","same_contributor_id",2,12000,"95661 | 95661-3842",FALSE
"FOSTER POULTRY FARMS LLC (JAYSON PENN)","FOSTER POULTRY FARMS","add to map","new_entity","f471e9bc-75b2-422f-8cc2-a0e279163150",NA,"Livingston","CA","org_rg_254","yes",FALSE,FALSE,"","exact_name_v4",1,10000,"95334-1526",FALSE
"FOSTER POULTRY FARMS LLC(BILL MATTOS)","FOSTER POULTRY FARMS","add to map","new_entity","f471e9bc-75b2-422f-8cc2-a0e279163150",NA,"Livingston","CA","org_rg_254","yes",FALSE,FALSE,"","exact_name_v4",1,3000,"95344",FALSE
"KINDRED HEALTHCARE OPERATING, LLC","KINDRED HEALTHCARE OPERATING","in existing map","adding_to_existing","679d3fa5-2d28-4392-ad76-a92da415c817",NA,"Louisville","KY","org_rg_255","yes",TRUE,FALSE,"","exact_name_v4",1,1000,"40202",FALSE
"KINDRED HEALTHCARE OPERATING, LLC(STEVE ALBRECHT)","KINDRED HEALTHCARE OPERATING","add to map","adding_to_existing","679d3fa5-2d28-4392-ad76-a92da415c817",NA,"Louisville","KY","org_rg_255","yes",FALSE,FALSE,"","exact_name_v4",1,2500,"40202",FALSE
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION","MCDONALD'S","add to map","new_entity","2e0f297b-4626-4da0-8509-86d3458f2d8e",NA,"Chicago","IL","org_rg_256","yes",FALSE,FALSE,"","exact_name_v4",1,5000,"60607",TRUE
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION(LAUREN AGUILAR)","MCDONALD'S","add to map","new_entity","2e0f297b-4626-4da0-8509-86d3458f2d8e",NA,"Chicago","IL","org_rg_256","yes",FALSE,FALSE,"","exact_name_v4",1,5000,"60607",TRUE
"ARCADIAN INFRACOM","ARCADIAN INFRACOM","name is already canonical","new_entity","fe22b3d1-0174-42a2-a948-0d93997c4051",NA,"St. Louis","MO","org_rg_257","yes",FALSE,FALSE,"","exact_name_v5",1,2000,"63108",FALSE
"ARCADIAN INFRACOM, INC.","ARCADIAN INFRACOM","add to map","new_entity","fe22b3d1-0174-42a2-a948-0d93997c4051",NA,"San Ramon","CA","org_rg_257","yes",FALSE,FALSE,"","exact_name_v5",1,15000,"94583-5110",FALSE
